,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
19,5.7694976402533456e+20,1.0134158101805243e+20,1.194e+21,4.955e+18,1.04e+20,8.005155304014714e-13
20,1.096861009234358e+21,7.608335189511092e+20,1.194e+21,4.955e+18,1.04e+20,2.880384283521023e-13
21,1.0430279282569584e+21,3.316369271519705e+20,1.194e+21,4.955e+18,1.04e+20,4.898165264741251e-09
22,9.932058609363776e+20,1.2764913841641821e+20,1.194e+21,4.955e+18,1.04e+20,8.018232513798117e-12
23,1.362419945198689e+21,4.1700336752071587e+20,1.194e+21,4.955e+18,1.04e+20,3.430439760965266e-12
24,5.723933741334761e+20,5.520153930893665e+20,1.194e+21,4.955e+18,1.04e+20,1.036807329254878e-11
25,7.405162403764509e+20,2.0137558055248082e+20,1.194e+21,4.955e+18,1.04e+20,1.488686140218036e-10
26,9.434225578866985e+20,2.374357949610539e+20,1.194e+21,4.955e+18,1.04e+20,3.087715798293909e-12
27,4.2553347492525566e+20,1.955646631698613e+20,1.194e+21,4.955e+18,1.04e+20,1.3807540798083703e-11
28,1.269347007540413e+21,3.172487954636761e+20,1.194e+21,4.955e+18,1.04e+20,9.970665734235345e-14
29,1.1628584859162065e+21,2.964615239217118e+20,1.194e+21,4.955e+18,1.04e+20,3.815968916114663e-15
30,1.3699259906665994e+21,5.4116719760245994e+20,1.194e+21,4.955e+18,1.04e+20,1.1043569430890733e-14
31,6.65320151603425e+20,5.3499219216577403e+20,1.194e+21,4.955e+18,1.04e+20,2.212979436278926e-09
32,1.0633380353307621e+21,2.302233876453047e+20,1.194e+21,4.955e+18,1.04e+20,9.390998515098146e-15
33,9.85455268547642e+20,2.936966588476124e+20,1.194e+21,4.955e+18,1.04e+20,1.454301338016764e-08
34,6.346995581623143e+20,1.898427770634772e+20,1.194e+21,4.955e+18,1.04e+20,1.0362111015953311e-11
35,5.515656673816071e+20,5.051250810887491e+20,1.194e+21,4.955e+18,1.04e+20,3.054336187421496e-10
36,1.4544862446938064e+21,6.269078468745328e+20,1.194e+21,4.955e+18,1.04e+20,1.7253023478028634e-10
37,4.9753863618766733e+20,1.681061120623748e+20,1.194e+21,4.955e+18,1.04e+20,1.213519817330657e-12
38,1.50646922137676e+21,1.1862197017515556e+21,1.194e+21,4.955e+18,1.04e+20,4.197255560438051e-11
39,5.021223979659754e+20,1.8352487288645445e+20,1.194e+21,4.955e+18,1.04e+20,1.3596402628483987e-11
40,8.944539743216725e+20,3.454282344635836e+20,1.194e+21,4.955e+18,1.04e+20,2.4928180216656377e-15
